Part,Purpose,Cost,Quantity,Total Cost,LCSC/JLCPCB Number,Purchase Link
PCB,connecting every component,~,1 (5),$22.60,~,https://jlcpcb.com/
Pico 2W,main MCU (handeling software),~$7,1,$7,C42394205,https://www.raspberrypi.com/products/raspberry-pi-pico-2/
Kailh Hotswap Sockets,holding the switches to the PCB without soldering,$0.1183,78,~$9,C2803348,https://jlcpcb.com/partdetail/C2803348
Kailh (Cocoa) Switches,the switches you can press,$0 (comes with a Rainy75),78,$0 (already owned),~,~
Keycaps,goes onto the switches for better look and feel,$0 (3d printing ABS),78,$0 (3d printed),~,~
EC11 Rotary Encoder Switch,goes uii and click click,$2.22,1,$2.22,C370970,https://jlcpcb.com/partdetail/C370970
Fingerprint Reader Kit,recognize your finger,$29.00,1,$29.00,~,https://frame.work/products/fingerprint-reader-kit?v=FRANTD0001
KYOCERA AVX FPC Connector,connect the fingerprint sensor,$0.3775,1,$0.3775,C5464531,https://jlcpcb.com/partdetail/C5464531
USB-C connector,connect to laptop,$0.0740,4,$0.296,C2765186,https://jlcpcb.com/partdetail/C2765186
PCA9536DGKR,I2C GPIO expander (more GPIO pins yeeee),$1.2053,1,$1.2053,C2649389,https://jlcpcb.com/partdetail/C2649389
SL2.1s,USB Hub core component,$0.2258,1,$0.2258,C2684433,https://jlcpcb.com/partdetail/C2684433
MMBT3904,letting the Pi control the LEDs on the sensor,$0.0095,3,$0.0285,C20526,https://jlcpcb.com/partdetail/C20526
SS8550 Y2,implementing the sensor switch into the matrix,$0.0134,1,$0.0134,C8542,https://jlcpcb.com/partdetail/C8542
MCP73831T-2ACI/OT,battery charger,$0.7585,1,$0.7585,C424093,https://jlcpcb.com/partdetail/C424093
DW01A,battery protector,$0.0426,1,$0.0426,C351410,https://jlcpcb.com/partdetail/C351410
FS8205A,mosfet for protector,$0.0470,1,$0.0470,C2830320,https://jlcpcb.com/partdetail/C2830320
S2B-PH-SM4-TB,connector for battery,$0.2014,1,$0.2014,C295747,https://jlcpcb.com/partdetail/C295747
Resistors 5.1k,prevent things go boom,$0.0016,10,~$0.016,C23186,https://jlcpcb.com/partdetail/C23186
Resistors 1k,prevent things go boom,$0.0016,6,~$0.0096,C21190,https://jlcpcb.com/partdetail/C21190
Resistors 100,prevent things go boom,$0.0016,1,~$0.0016,C22775,https://jlcpcb.com/partdetail/C22775
Resistors 4.7k,prevent things go boom,$0.0016,2,~$0.0032,C23162,https://jlcpcb.com/partdetail/C23162
Diodes,prevent voltage from backflowing,$0.0117,82,~$0.9594,C81598,https://jlcpcb.com/partdetail/C81598
Capacitors 1uF,smooth out the power,$0.0032,8,~$0.0256,C15849,https://jlcpcb.com/partdetail/C15849
Capacitors 4.7uF,smooth out the power,$0.0110,2,~$0.022,C19666,https://jlcpcb.com/partdetail/C19666
Capacitors 100nF,smooth out the power,$0.0032,4,~$0.0128,C14663,https://jlcpcb.com/partdetail/C14663
